Event,Time,Alt. Adj. Time,Age,Power Points,Time Standard,Meet,LSC,Club,Swim Date
50 FR SCY,26.98,26.98,15,512,"""A""",MA WSY PRESIDENTS DAY INVITE,MA,Diamond State Aquatics,2/19/2023
50 FR SCY,27.11,27.11,15,501,"""A""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/8/2022
50 FR SCY,27.12,27.12,15,500,"""A""",MA EMAC RESTED AND READY CLOSED INVITE,MA,Unattached,3/5/2023
50 FR SCY,27.14,27.14,15,498,"""A""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/13/2022
50 FR SCY,27.18,27.18,16,493,"""A""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/2/2023
50 FR SCY,27.85,27.85,15,440,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/30/2022
50 FR SCY,28.91,28.91,15,356,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/4/2022
100 FR SCY,57.43,57.43,15,526,"""A""",MA EMAC RESTED AND READY CLOSED INVITE,MA,Unattached,3/5/2023
100 FR SCY,57.66,57.66,16,511,"""A""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/1/2023
100 FR SCY,57.81,57.81,16,505,"""A""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/1/2023
100 FR SCY,58.33,58.33,15,487,"""A""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/12/2022
100 FR SCY,58.74,58.74,16,466,"""A""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/1/2023
100 FR SCY,59.70,59.70,15,431,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/3/2022
100 FR SCY,1:00.35,1:00.35,15,406,"""BB""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/9/2022
100 FR SCY,1:00.89,1:00.89,15,385,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/29/2022
100 FR SCY,1:01.63,1:01.63,15,357,"""BB""",MA DSA WINTER CLASSIC A/BB/C MEET,MA,Diamond State Aquatics,1/7/2023
200 FR SCY,2:12.54,2:12.54,15,332,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/30/2022
500 FR SCY,5:42.60,5:42.60,15,399,"""A""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/11/2022
500 FR SCY,5:55.00,5:55.00,15,313,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/29/2022
50 BK SCY,31.77,31.77,15,1,"""Slower than B""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/8/2022
100 BK SCY,1:05.31,1:05.31,16,473,"""BB""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/1/2023
100 BK SCY,1:05.90,1:05.90,16,452,"""BB""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/1/2023
100 BK SCY,1:10.44,1:10.44,15,309,"""B""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/4/2022
200 BK SCY,2:26.61,2:26.61,15,418,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/3/2022
200 BK SCY,2:26.72,2:26.72,15,417,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/29/2022
50 BR SCY,35.81,35.81,15,1,"""Slower than B""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/8/2022
100 BR SCY,1:14.24,1:14.24,15,525,"""BB""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/12/2022
100 BR SCY,1:14.69,1:14.69,15,512,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/3/2022
100 BR SCY,1:14.87,1:14.87,16,484,"""BB""",2023 MA Silver Championships - DSA,MA,Diamond State Aquatics,4/2/2023
100 BR SCY,1:16.89,1:16.89,15,447,"""BB""",MA DSA WINTER CLASSIC A/BB/C MEET,MA,Diamond State Aquatics,1/7/2023
200 BR SCY,2:47.11,2:47.11,15,445,"""BB""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/13/2022
200 BR SCY,2:52.80,2:52.80,15,372,"""B""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/4/2022
50 FL SCY,29.45,29.45,15,1,"""Slower than B""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/8/2022
100 FL SCY,1:02.60,1:02.60,15,579,"""A""",MA EMAC RESTED AND READY CLOSED INVITE,MA,Unattached,3/5/2023
100 FL SCY,1:03.45,1:03.45,15,548,"""A""",MA WSY PRESIDENTS DAY INVITE,MA,Diamond State Aquatics,2/19/2023
100 FL SCY,1:03.57,1:03.57,15,544,"""A""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/13/2022
100 FL SCY,1:05.93,1:05.93,15,462,"""BB""",MA DSA WINTER CLASSIC A/BB/C MEET,MA,Diamond State Aquatics,1/7/2023
100 FL SCY,1:06.11,1:06.11,15,456,"""BB""",MA DSA Monster Mash A/BB/C Meet,MA,Diamond State Aquatics,10/29/2022
100 FL SCY,1:06.61,1:06.61,15,440,"""BB""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/9/2022
100 FL SCY,1:07.73,1:07.73,15,403,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/4/2022
100 IM SCY,1:08.23,1:08.23,15,1,"""Slower than B""",MA LAC Fall Fest,MA,Diamond State Aquatics,10/9/2022
200 IM SCY,2:24.84,2:24.84,15,453,"""BB""",MA WSY Thanksgiving Invite,MA,Diamond State Aquatics,11/12/2022
200 IM SCY,2:25.95,2:25.95,15,435,"""BB""",MA EASTERN SHORE INVITATIONAL,MA,Diamond State Aquatics,12/3/2022
